"AE_NAME","GROUP_NAME"
"Lymph node pain","Spleen, lymphatic and reticuloendothelial system disorders"
"Lymphadenopathy","Spleen, lymphatic and reticuloendothelial system disorders"
"Tachycardia","Cardiac arrhythmias"
"Cyanosis","Cardiac disorder signs and symptoms"
"Dizziness","Cardiac disorder signs and symptoms"
"Dyspnoea","Cardiac disorder signs and symptoms"
"Palpitations","Cardiac disorder signs and symptoms"
"Presyncope","Cardiac disorder signs and symptoms"
"Syncope","Cardiac disorder signs and symptoms"
"Chest discomfort","Coronary artery disorders"
"Chest pain","Coronary artery disorders"
"Oedema peripheral","Heart failures"
"Peripheral swelling","Heart failures"
"Hypoacusis","Hearing disorders"
"Tinnitus","Inner ear and VIIIth cranial nerve disorders"
"Vertigo","Inner ear and VIIIth cranial nerve disorders"
"Ear pain","Aural disorders NEC"
"Eye pain","Eye disorders NEC"
"Eye swelling","Eye disorders NEC"
"Lacrimation increased","Eye disorders NEC"
"Conjunctivitis","Ocular infections, irritations and inflammations"
"Eye discharge","Ocular infections, irritations and inflammations"
"Eyelid oedema","Ocular infections, irritations and inflammations"
"Ocular hyperaemia","Ocular infections, irritations and inflammations"
"Eye pruritus","Ocular infections, irritations and inflammations"
"Eye movement disorder","Ocular neuromuscular disorders"
"Vision blurred","Vision disorders"
"Visual impairment","Vision disorders"
"Diarrhoea","Gastrointestinal motility and defaecation conditions"
"Abdominal discomfort","Gastrointestinal signs and symptoms"
"Abdominal pain","Gastrointestinal signs and symptoms"
"Abdominal pain upper","Gastrointestinal signs and symptoms"
"Dysphagia","Gastrointestinal signs and symptoms"
"Nausea","Gastrointestinal signs and symptoms"
"Vomiting","Gastrointestinal signs and symptoms"
"Lip swelling","Oral soft tissue conditions"
"Throat irritation","Oral soft tissue conditions"
"Oral pruritus","Oral soft tissue conditions"
"Hypoaesthesia oral","Oral soft tissue conditions"
"Paraesthesia oral","Oral soft tissue conditions"
"Oropharyngeal pain","Oral soft tissue conditions"
"Mouth swelling","Oral soft tissue conditions"
"Dry mouth","Salivary gland conditions"
"Dysgeusia","Tongue conditions"
"Swollen tongue","Tongue conditions"
"Tongue disorder","Tongue conditions"
"Injection site bruising","Others"
"Injection site erythema","Others"
"Injection site haemorrhage","Others"
"Injection site induration","Others"
"Injection site inflammation","Others"
"Injection site mass","Others"
"Injection site oedema","Others"
"Injection site pain","Others"
"Injection site paraesthesia","Others"
"Injection site pruritus","Others"
"Injection site rash","Others"
"Injection site reaction","Others"
"Injection site urticaria","Others"
"Injection site vesicles","Others"
"Injection site warmth","Others"
"Injection site joint pain","Others"
"Injection site cellulitis","Others"
"Injection site swelling","Others"
"Injection site discomfort","Others"
"Injected limb mobility decreased","Others"
"Injection site nodule","Others"
"Vaccination site erythema","Others"
"Vaccination site pain","Others"
"Vaccination site swelling","Others"
"Vaccination site warmth","Others"
"Injection site hypoaesthesia","Others"
"Febrile convulsion","Others"
"Pyrexia","Others"
"Mass","Others"
"Nodule","Others"
"Asthenia","Others"
"Burning sensation","Others"
"Chest discomfort","Others"
"Chest pain","Others"
"Chills","Others"
"Cold sweat","Others"
"Condition aggravated","Others"
"Crying","Others"
"Discomfort","Others"
"Face oedema","Others"
"Facial pain","Others"
"Fatigue","Others"
"Feeling abnormal","Others"
"Feeling cold","Others"
"Feeling hot","Others"
"Flushing","Others"
"Gait disturbance","Others"
"Hyperhidrosis","Others"
"Influenza like illness","Others"
"Irritability","Others"
"Lethargy","Others"
"Local reaction","Others"
"Malaise","Others"
"Night sweats","Others"
"Oedema","Others"
"Oedema peripheral","Others"
"Pain","Others"
"Pallor","Others"
"Peripheral coldness","Others"
"Swelling","Others"
"Tenderness","Others"
"Mobility decreased","Others"
"Axillary pain","Others"
"Peripheral swelling","Others"
"Dysstasia","Others"
"Induration","Others"
"Hot flush","Others"
"Inflammation","Others"
"Decreased appetite","Others"
"Sensation of foreign body","Others"
"Unevaluable event","Others"
"No adverse event","Others"
"Immediate post-injection reaction","Others"
"Anaphylactic reaction","Allergic conditions"
"Angioedema","Allergic conditions"
"Asthma","Allergic conditions"
"Eyelid oedema","Allergic conditions"
"Face oedema","Allergic conditions"
"Hypersensitivity","Allergic conditions"
"Injection site urticaria","Allergic conditions"
"Lip swelling","Allergic conditions"
"Pharyngeal oedema","Allergic conditions"
"Swelling face","Allergic conditions"
"Swollen tongue","Allergic conditions"
"Urticaria","Allergic conditions"
"Immediate post-injection reaction","Allergic conditions"
"Mouth swelling","Allergic conditions"
"Guillain-Barre syndrome","Autoimmune disorders"
"Myelitis transverse","Autoimmune disorders"
"Neuralgic amyotrophy","Autoimmune disorders"
"Vaccination complication","Immune disorders NEC"
"Guillain-Barre syndrome","Ancillary infectious topics"
"Cellulitis","Bacterial infectious disorders"
"Injection site cellulitis","Bacterial infectious disorders"
"Conjunctivitis","Infections - pathogen unspecified"
"Nasopharyngitis","Infections - pathogen unspecified"
"Pneumonia","Infections - pathogen unspecified"
"Herpes zoster","Viral infectious disorders"
"Influenza","Viral infectious disorders"
"Bursitis","Others"
"Rotator cuff syndrome","Others"
"Blister","Others"
"Fall","Others"
"Head injury","Others"
"Tendon disorder","Others"
"Tendonitis","Others"
"Face injury","Others"
"Contusion","Others"
"Nerve injury","Others"
"Vaccination complication","Others"
"Exposure during pregnancy","Others"
"Drug administered at inappropriate site","Others"
"Inappropriate schedule of drug administration","Others"
"Wrong drug administered","Others"
"Incorrect route of drug administration","Others"
"Incorrect dose administered","Others"
"Extra dose administered","Others"
"Drug administered to patient of inappropriate age","Others"
"Multiple use of single-use product","Others"
"Expired product administered","Others"
"Underdose","Others"
"Blood pressure increased","Others"
"Electrocardiogram","Others"
"Electrocardiogram normal","Others"
"Heart rate decreased","Others"
"Heart rate increased","Others"
"Full blood count","Others"
"Full blood count normal","Others"
"Haematocrit normal","Others"
"Haemoglobin normal","Others"
"Platelet count normal","Others"
"Red blood cell count normal","Others"
"White blood cell count increased","Others"
"White blood cell count normal","Others"
"Red blood cell sedimentation rate normal","Others"
"Liver function test normal","Others"
"Computerised tomogram","Others"
"Computerised tomogram normal","Others"
"Nuclear magnetic resonance imaging","Others"
"Nuclear magnetic resonance imaging abnormal","Others"
"Nuclear magnetic resonance imaging normal","Others"
"Ultrasound scan","Others"
"X-ray","Others"
"X-ray normal","Others"
"Blood test normal","Others"
"Laboratory test normal","Others"
"Laboratory test","Others"
"Blood test","Others"
"Blood glucose","Others"
"Blood glucose decreased","Others"
"Blood glucose increased","Others"
"Blood glucose normal","Others"
"Metabolic function test","Others"
"Metabolic function test normal","Others"
"Blood culture","Others"
"Blood culture negative","Others"
"Hepatitis C antibody negative","Others"
"Hepatitis B surface antigen negative","Others"
"HIV antibody negative","Others"
"HIV antigen negative","Others"
"Culture","Others"
"Influenza B virus test positive","Others"
"Influenza A virus test positive","Others"
"Borrelia test negative","Others"
"Streptococcus test negative","Others"
"Influenza virus test negative","Others"
"Hepatitis B core antibody negative","Others"
